,ID,SRM,Name,DateIssued,Measureand,InChI,CertRef,Value,Uncertainty,95low,95high,u,UnitNumerator,UnitDenominator,Mass/Volume,WetDry,Uncertainty.1,k
1412,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 138,1S/C12H4Cl6/c13-7-2-1-5(11(17)12(7)18)6-3-9(15)10(16)4-8(6)14/h1-4H,Cert,639.0,34.0,605.0,673.0,17.0,ng,kg,M,wet,34.0,2.0
1413,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 146,1S/C12H4Cl6/c13-5-1-7(12(18)11(17)2-5)6-3-9(15)10(16)4-8(6)14/h1-4H,Cert,492.0,30.0,462.0,522.0,15.0,ng,kg,M,wet,30.0,2.0
1414,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 149,1S/C12H4Cl6/c13-6-1-2-7(14)12(18)11(6)5-3-9(16)10(17)4-8(5)15/h1-4H,Cert,408.0,12.0,396.0,420.0,6.0,ng,kg,M,wet,12.0,2.0
1415,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 151,1S/C12H4Cl6/c13-5-1-2-7(14)6(3-5)10-11(17)8(15)4-9(16)12(10)18/h1-4H,Cert,417.0,22.0,395.0,439.0,11.0,ng,kg,M,wet,22.0,2.0
1416,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 153,1S/C12H4Cl6/c13-7-3-11(17)9(15)1-5(7)6-2-10(16)12(18)4-8(6)14/h1-4H,Cert,977.0,49.0,928.0,1026.0,24.5,ng,kg,M,wet,49.0,2.0
1417,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 156,1S/C12H4Cl6/c13-7-2-1-5(3-8(7)14)6-4-9(15)11(17)12(18)10(6)16/h1-4H,Cert,511.0,54.0,457.0,565.0,27.0,ng,kg,M,wet,54.0,2.0
1418,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 157,1S/C12H4Cl6/c13-7-2-1-6(10(16)12(7)18)5-3-8(14)11(17)9(15)4-5/h1-4H,Cert,467.0,33.0,434.0,500.0,16.5,ng,kg,M,wet,33.0,2.0
1419,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 158,1S/C12H4Cl6/c13-6-2-1-5(3-7(6)14)10-8(15)4-9(16)11(17)12(10)18/h1-4H,Cert,402.0,20.0,382.0,422.0,10.0,ng,kg,M,wet,20.0,2.0
1420,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 167,1S/C12H4Cl6/c13-7-4-9(15)8(14)3-6(7)5-1-10(16)12(18)11(17)2-5/h1-4H,Cert,467.0,53.0,414.0,520.0,26.5,ng,kg,M,wet,53.0,2.0
1421,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 169,1S/C12H4Cl6/c13-7-1-5(2-8(14)11(7)17)6-3-9(15)12(18)10(16)4-6/h1-4H,Ref,9.3,1.2,8.100000000000001,10.5,0.6,ng,kg,M,wet,1.2,2.0
1422,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 170,1S/C12H3Cl7/c13-6-2-1-4(8(15)10(6)17)5-3-7(14)11(18)12(19)9(5)16/h1-3H,Cert,507.0,63.0,444.0,570.0,31.5,ng,kg,M,wet,63.0,2.0
1423,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 172,1S/C12H3Cl7/c13-4-1-5(9(16)7(14)2-4)6-3-8(15)11(18)12(19)10(6)17/h1-3H,Cert,443.0,29.0,414.0,472.0,14.5,ng,kg,M,wet,29.0,2.0
1424,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 177,1S/C12H3Cl7/c13-5-2-1-4(9(16)12(5)19)8-10(17)6(14)3-7(15)11(8)18/h1-3H,Cert,447.0,27.0,420.0,474.0,13.5,ng,kg,M,wet,27.0,2.0
1425,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 178,1S/C12H3Cl7/c13-4-1-5(10(17)6(14)2-4)9-11(18)7(15)3-8(16)12(9)19/h1-3H,Cert,449.0,12.0,437.0,461.0,6.0,ng,kg,M,wet,12.0,2.0
1426,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 18,1S/C12H7Cl3/c13-8-5-6-12(15)10(7-8)9-3-1-2-4-11(9)14/h1-7H,Cert,355.0,45.0,310.0,400.0,22.5,ng,kg,M,wet,45.0,2.0
1427,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 180,1S/C12H3Cl7/c13-6-3-8(15)7(14)1-4(6)5-2-9(16)11(18)12(19)10(5)17/h1-3H,Cert,696.0,71.0,625.0,767.0,35.5,ng,kg,M,wet,71.0,2.0
1428,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 183,1S/C12H3Cl7/c13-5-2-7(15)6(14)1-4(5)10-8(16)3-9(17)11(18)12(10)19/h1-3H,Cert,445.0,19.0,426.0,464.0,9.5,ng,kg,M,wet,19.0,2.0
1429,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 187,1S/C12H3Cl7/c13-5-2-7(15)6(14)1-4(5)10-11(18)8(16)3-9(17)12(10)19/h1-3H,Cert,517.0,25.0,492.0,542.0,12.5,ng,kg,M,wet,25.0,2.0
1430,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 189,1S/C12H3Cl7/c13-6-1-4(2-7(14)10(6)17)5-3-8(15)11(18)12(19)9(5)16/h1-3H,Cert,432.0,35.0,397.0,467.0,17.5,ng,kg,M,wet,35.0,2.0
1431,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 194,1S/C12H2Cl8/c13-5-1-3(7(15)11(19)9(5)17)4-2-6(14)10(18)12(20)8(4)16/h1-2H,Cert,482.0,28.0,454.0,510.0,14.0,ng,kg,M,wet,28.0,2.0
1432,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 195,1S/C12H2Cl8/c13-4-2-1-3(6(14)7(4)15)5-8(16)10(18)12(20)11(19)9(5)17/h1-2H,Cert,461.0,40.0,421.0,501.0,20.0,ng,kg,M,wet,40.0,2.0
1433,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 196+203,,Cert,872.0,61.0,811.0,933.0,30.5,ng,kg,M,wet,61.0,2.0
1434,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 199,1S/C12H2Cl8/c13-4-1-3(8(16)12(20)11(4)19)7-9(17)5(14)2-6(15)10(7)18/h1-2H,Cert,469.0,35.0,434.0,504.0,17.5,ng,kg,M,wet,35.0,2.0
1435,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 206,1S/C12HCl9/c13-3-1-2(5(14)9(18)6(3)15)4-7(16)10(19)12(21)11(20)8(4)17/h1H,Cert,465.0,30.0,435.0,495.0,15.0,ng,kg,M,wet,30.0,2.0
1436,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 209,1S/C12Cl10/c13-3-1(4(14)8(18)11(21)7(3)17)2-5(15)9(19)12(22)10(20)6(2)16,Cert,436.0,36.0,400.0,472.0,18.0,ng,kg,M,wet,36.0,2.0
1437,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 28,1S/C12H7Cl3/c13-9-3-1-8(2-4-9)11-6-5-10(14)7-12(11)15/h1-7H,Cert,519.0,24.0,495.0,543.0,12.0,ng,kg,M,wet,24.0,2.0
1438,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 44,1S/C12H6Cl4/c13-7-4-5-10(14)9(6-7)8-2-1-3-11(15)12(8)16/h1-6H,Cert,415.0,35.0,380.0,450.0,17.5,ng,kg,M,wet,35.0,2.0
1439,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 49,1S/C12H6Cl4/c13-7-2-4-11(15)10(5-7)9-3-1-8(14)6-12(9)16/h1-6H,Cert,429.0,15.0,414.0,444.0,7.5,ng,kg,M,wet,15.0,2.0
1440,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 52,1S/C12H6Cl4/c13-7-1-3-11(15)9(5-7)10-6-8(14)2-4-12(10)16/h1-6H,Cert,425.0,40.0,385.0,465.0,20.0,ng,kg,M,wet,40.0,2.0
1441,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 66,1S/C12H6Cl4/c13-8-2-3-9(11(15)6-8)7-1-4-10(14)12(16)5-7/h1-6H,Cert,428.0,40.0,388.0,468.0,20.0,ng,kg,M,wet,40.0,2.0
1442,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 74,1S/C12H6Cl4/c13-8-3-1-7(2-4-8)9-5-11(15)12(16)6-10(9)14/h1-6H,Cert,563.0,19.0,544.0,582.0,9.5,ng,kg,M,wet,19.0,2.0
1443,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 77,1S/C12H6Cl4/c13-9-3-1-7(5-11(9)15)8-2-4-10(14)12(16)6-8/h1-6H,Ref,2.71,0.14,2.57,2.85,0.07,ng,kg,M,wet,0.14,2.0
1444,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 81,1S/C12H6Cl4/c13-9-3-1-7(2-4-9)8-5-10(14)12(16)11(15)6-8/h1-6H,Ref,0.63,0.028,0.602,0.658,0.014,ng,kg,M,wet,0.028,2.0
1445,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 87,1S/C12H5Cl5/c13-6-1-3-9(14)8(5-6)7-2-4-10(15)12(17)11(7)16/h1-5H,Cert,457.0,57.0,400.0,514.0,28.5,ng,kg,M,wet,57.0,2.0
1446,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,PCB 99,1S/C12H5Cl5/c13-6-1-2-7(9(14)3-6)8-4-11(16)12(17)5-10(8)15/h1-5H,Cert,558.0,38.0,520.0,596.0,19.0,ng,kg,M,wet,38.0,2.0
1447,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,Pentachlorobenzene,1S/C6HCl5/c7-2-1-3(8)5(10)6(11)4(2)9/h1H,Ref,362.0,24.0,338.0,386.0,12.0,ng,kg,M,wet,24.0,2.0
1448,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,Phosphorus,,Ref,135.0,2.0,133.0,137.0,1.0,mg,kg,M,wet,2.0,2.0
1449,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,Potassium,1S/K,Ref,462.0,7.0,455.0,469.0,3.5,mg,kg,M,wet,7.0,2.0
1450,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,Sodium,1S/Na,Ref,127.0,3.0,124.0,130.0,1.5,mg,kg,M,wet,3.0,2.0
1451,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,trans-Chlordane,"1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2",Cert,377.0,9.0,368.0,386.0,4.5,ng,kg,M,wet,9.0,2.0
1452,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,trans-Nonachlor,"1S/C10H5Cl9/c11-3-1-2(4(12)5(3)13)9(17)7(15)6(14)8(1,16)10(9,18)19/h1-5H",Cert,1700.0,140.0,1560.0,1840.0,70.0,ng,kg,M,wet,140.0,2.0
1453,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,β-HCH,"1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3+,4+,5-,6-",Cert,829.0,38.0,791.0,867.0,19.0,ng,kg,M,wet,38.0,2.0
1454,,SRM 1954,Organic Contaminants in Fortified Human Milk,2009-06-04,γ-HCH,"1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+",Cert,588.0,34.0,554.0,622.0,17.0,ng,kg,M,wet,34.0,2.0
1455,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",1S/C12HCl7O/c13-3-1-2-4-6(15)7(16)8(17)10(19)12(4)20-11(2)9(18)5(3)14/h1H,Ref,39.8,6.2,33.599999999999994,46.0,3.1,pg,g,M,,6.2,2.0
1456,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",1S/C12HCl7O2/c13-2-1-3-10(7(17)4(2)14)21-12-9(19)6(16)5(15)8(18)11(12)20-3/h1H,Ref,104.0,36.0,68.0,140.0,18.0,pg,g,M,,36.0,2.0
1457,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,"1,2,3,4,7,8-Hexachlorodibenzofuran",1S/C12H2Cl6O/c13-4-1-3-6(2-5(4)14)19-12-7(3)8(15)9(16)10(17)11(12)18/h1-2H,Ref,17.0,3.1,13.9,20.1,1.55,pg,g,M,,3.1,2.0
1458,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",1S/C12H2Cl6O2/c13-3-1-5-6(2-4(3)14)20-12-10(18)8(16)7(15)9(17)11(12)19-5/h1-2H,Ref,11.8,1.7,10.100000000000001,13.5,0.85,pg,g,M,,1.7,2.0
1459,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,"1,2,3,6,7,8-Hexachlorodibenzofuran",1S/C12H2Cl6O/c13-4-1-3-7-6(2-5(14)8(15)10(7)17)19-12(3)11(18)9(4)16/h1-2H,Ref,14.1,2.5,11.6,16.6,1.25,pg,g,M,,2.5,2.0
1460,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",1S/C12H2Cl6O2/c13-3-1-5-11(9(17)7(3)15)20-6-2-4(14)8(16)10(18)12(6)19-5/h1-2H,Ref,82.0,18.0,64.0,100.0,9.0,pg,g,M,,18.0,2.0
1461,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",1S/C12H2Cl6O2/c13-3-1-5-11(9(17)7(3)15)20-12-6(19-5)2-4(14)8(16)10(12)18/h1-2H,Ref,18.7,0.3,18.4,19.0,0.15,pg,g,M,,0.3,2.0
1462,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",1S/C12H3Cl5O2/c13-4-1-7-8(2-5(4)14)19-12-9(18-7)3-6(15)10(16)11(12)17/h1-3H,Ref,17.3,2.9,14.4,20.2,1.45,pg,g,M,,2.9,2.0
1463,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,"2,3,4,7,8-Pentachlorodibenzofuran",1S/C12H3Cl5O/c13-6-1-4-5-2-8(15)10(16)11(17)12(5)18-9(4)3-7(6)14/h1-3H,Ref,16.4,2.5,13.899999999999999,18.9,1.25,pg,g,M,,2.5,2.0
1464,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,"4,4'-DDE",1S/C14H8Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8H,Cert,921.0,76.0,845.0,997.0,38.0,ng,kg,M,,76.0,2.0
1465,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,Free Cholesterol (FC),,Ref,34.4,0.5,33.9,34.9,0.25,mg,dL,V,,0.5,2.0
1466,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,Hexachlorobenzene,1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9,Cert,29.7,3.5,26.2,33.2,1.75,ng,kg,M,,3.5,2.0
1467,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,Octachlorodibenzo-p-dioxin,1S/C12Cl8O2/c13-1-2(14)6(18)10-9(5(1)17)21-11-7(19)3(15)4(16)8(20)12(11)22-10,Ref,716.0,81.0,635.0,797.0,40.5,pg,g,M,,81.0,2.0
1468,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PBB 153,,Cert,15.5,0.1,15.4,15.6,0.05,ng,kg,M,,0.1,2.0
1469,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PBDE 100,1S/C12H5Br5O/c13-6-1-2-11(8(15)3-6)18-12-9(16)4-7(14)5-10(12)17/h1-5H,Cert,49.7,2.7,47.0,52.400000000000006,1.35,ng,kg,M,,2.7,2.0
1470,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PBDE 153,1S/C12H4Br6O/c13-5-1-9(17)11(3-7(5)15)19-12-4-8(16)6(14)2-10(12)18/h1-4H,Cert,61.0,3.2,57.8,64.2,1.6,ng,kg,M,,3.2,2.0
1471,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PBDE 154,1S/C12H4Br6O/c13-5-1-9(17)12(10(18)2-5)19-11-4-7(15)6(14)3-8(11)16/h1-4H,Ref,7.0,1.0,6.0,8.0,0.5,ng,kg,M,,1.0,2.0
1472,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PBDE 17,1S/C12H7Br3O/c13-8-5-6-12(10(15)7-8)16-11-4-2-1-3-9(11)14/h1-7H,Ref,4.2,1.5,2.7,5.7,0.75,ng,kg,M,,1.5,2.0
1473,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PBDE 28,1S/C12H7Br3O/c13-8-1-4-10(5-2-8)16-12-6-3-9(14)7-11(12)15/h1-7H,Ref,20.0,2.4,17.6,22.4,1.2,ng,kg,M,,2.4,2.0
1474,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PBDE 47,1S/C12H6Br4O/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6H,Cert,268.0,14.0,254.0,282.0,7.0,ng,kg,M,,14.0,2.0
1475,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PBDE 66,1S/C12H6Br4O/c13-7-1-4-12(11(16)5-7)17-8-2-3-9(14)10(15)6-8/h1-6H,Ref,6.7,0.13,6.57,6.83,0.065,ng,kg,M,,0.13,2.0
1476,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PBDE 85,1S/C12H5Br5O/c13-6-1-3-9(8(15)5-6)18-10-4-2-7(14)11(16)12(10)17/h1-5H,Ref,8.2,1.9,6.299999999999999,10.1,0.95,ng,kg,M,,1.9,2.0
1477,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PBDE 99,1S/C12H5Br5O/c13-6-1-2-11(9(16)3-6)18-12-5-8(15)7(14)4-10(12)17/h1-5H,Cert,76.0,3.8,72.2,79.8,1.9,ng,kg,M,,3.8,2.0
1478,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 118,1S/C12H5Cl5/c13-8-2-1-6(3-10(8)15)7-4-11(16)12(17)5-9(7)14/h1-5H,Cert,18.9,1.2,17.7,20.099999999999998,0.6,ng,kg,M,,1.2,2.0
1479,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 138,1S/C12H4Cl6/c13-7-2-1-5(11(17)12(7)18)6-3-9(15)10(16)4-8(6)14/h1-4H,Cert,36.9,9.0,27.9,45.9,4.5,ng,kg,M,,9.0,2.0
1480,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 146,1S/C12H4Cl6/c13-5-1-7(12(18)11(17)2-5)6-3-9(15)10(16)4-8(6)14/h1-4H,Ref,7.17,0.26,6.91,7.43,0.13,ng,kg,M,,0.26,2.0
1481,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 153,1S/C12H4Cl6/c13-7-3-11(17)9(15)1-5(7)6-2-10(16)12(18)4-8(6)14/h1-4H,Cert,58.2,0.9,57.300000000000004,59.1,0.45,ng,kg,M,,0.9,2.0
1482,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 156,1S/C12H4Cl6/c13-7-2-1-5(3-8(7)14)6-4-9(15)11(17)12(18)10(6)16/h1-4H,Ref,8.24,0.57,7.67,8.81,0.285,ng,kg,M,,0.57,2.0
1483,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 170,1S/C12H3Cl7/c13-6-2-1-4(8(15)10(6)17)5-3-7(14)11(18)12(19)9(5)16/h1-3H,Cert,16.2,2.0,14.2,18.2,1.0,ng,kg,M,,2.0,2.0
1484,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 178,1S/C12H3Cl7/c13-4-1-5(10(17)6(14)2-4)9-11(18)7(15)3-8(16)12(9)19/h1-3H,Ref,3.61,0.32,3.29,3.9299999999999997,0.16,ng,kg,M,,0.32,2.0
1485,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 18,1S/C12H7Cl3/c13-8-5-6-12(15)10(7-8)9-3-1-2-4-11(9)14/h1-7H,Ref,4.5,0.8,3.7,5.3,0.4,ng,kg,M,,0.8,2.0
1486,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 180+193,,Cert,54.5,0.5,54.0,55.0,0.25,ng,kg,M,,0.5,2.0
1487,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 183,1S/C12H3Cl7/c13-5-2-7(15)6(14)1-4(5)10-8(16)3-9(17)11(18)12(10)19/h1-3H,Ref,5.77,0.35,5.42,6.119999999999999,0.175,ng,kg,M,,0.35,2.0
1488,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 187,1S/C12H3Cl7/c13-5-2-7(15)6(14)1-4(5)10-11(18)8(16)3-9(17)12(10)19/h1-3H,Cert,15.5,0.5,15.0,16.0,0.25,ng,kg,M,,0.5,2.0
1489,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 194,1S/C12H2Cl8/c13-5-1-3(7(15)11(19)9(5)17)4-2-6(14)10(18)12(20)8(4)16/h1-2H,Cert,11.9,0.3,11.6,12.200000000000001,0.15,ng,kg,M,,0.3,2.0
1490,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 196+203,,Ref,10.9,0.7,10.200000000000001,11.6,0.35,ng,kg,M,,0.7,2.0
1491,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 199,1S/C12H2Cl8/c13-4-1-3(8(16)12(20)11(4)19)7-9(17)5(14)2-6(15)10(7)18/h1-2H,Ref,11.2,0.8,10.399999999999999,12.0,0.4,ng,kg,M,,0.8,2.0
1492,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 206,1S/C12HCl9/c13-3-1-2(5(14)9(18)6(3)15)4-7(16)10(19)12(21)11(20)8(4)17/h1H,Ref,6.98,0.37,6.61,7.3500000000000005,0.185,ng,kg,M,,0.37,2.0
1493,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 209,1S/C12Cl10/c13-3-1(4(14)8(18)11(21)7(3)17)2-5(15)9(19)12(22)10(20)6(2)16,Ref,3.33,0.59,2.74,3.92,0.295,ng,kg,M,,0.59,2.0
1494,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 28,1S/C12H7Cl3/c13-9-3-1-8(2-4-9)11-6-5-10(14)7-12(11)15/h1-7H,Ref,8.6,1.1,7.5,9.7,0.55,ng,kg,M,,1.1,2.0
1495,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 66,1S/C12H6Cl4/c13-8-2-3-9(11(15)6-8)7-1-4-10(14)12(16)5-7/h1-6H,Ref,5.6,1.7,3.8999999999999995,7.3,0.85,ng,kg,M,,1.7,2.0
1496,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 74,1S/C12H6Cl4/c13-8-3-1-7(2-4-8)9-5-11(15)12(16)6-10(9)14/h1-6H,Ref,13.8,0.1,13.700000000000001,13.9,0.05,ng,kg,M,,0.1,2.0
1497,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PCB 99,1S/C12H5Cl5/c13-6-1-2-7(9(14)3-6)8-4-11(16)12(17)5-10(8)15/h1-5H,Ref,11.6,0.6,11.0,12.2,0.3,ng,kg,M,,0.6,2.0
1498,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PDBE 28+33,,Ref,25.1,0.1,25.0,25.200000000000003,0.05,ng,kg,M,,0.1,2.0
1499,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,Pentachlorophenol,1S/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H,Ref,2710.0,880.0,1830.0,3590.0,440.0,ng,kg,M,,880.0,2.0
1500,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PFDA,"1S/C10HF19O2/c11-2(12,1(30)31)3(13,14)4(15,16)5(17,18)6(19,20)7(21,22)8(23,24)9(25,26)10(27,28)29/h(H,30,31)",Ref,0.39,0.12,0.27,0.51,0.06,ug,kg,M,,0.12,2.0
1501,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PFHpA,"1S/C7HF13O2/c8-2(9,1(21)22)3(10,11)4(12,13)5(14,15)6(16,17)7(18,19)20/h(H,21,22)",Ref,0.305,0.051,0.254,0.356,0.0255,ug,kg,M,,0.051,2.0
1502,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PFHxS,"1S/C6HF13O3S/c7-1(8,3(11,12)5(15,16)17)2(9,10)4(13,14)6(18,19)23(20,21)22/h(H,20,21,22)",Ref,4.0,0.83,3.17,4.83,0.415,ug,kg,M,,0.83,2.0
1503,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PFNA,"1S/C9HF17O2/c10-2(11,1(27)28)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)8(22,23)9(24,25)26/h(H,27,28)",Ref,0.878,0.077,0.801,0.955,0.0385,ug,kg,M,,0.077,2.0
1504,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PFOA,"1S/C8HF15O2/c9-2(10,1(24)25)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)23/h(H,24,25)",Ref,5.0,0.44,4.56,5.44,0.22,ug,kg,M,,0.44,2.0
1505,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PFOS,"1S/C8HF17O3S/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)29(26,27)28/h(H,26,27,28)",Ref,21.1,1.3,19.8,22.400000000000002,0.65,ug,kg,M,,1.3,2.0
1506,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,PFUnA,"1S/C11HF21O2/c12-2(13,1(33)34)3(14,15)4(16,17)5(18,19)6(20,21)7(22,23)8(24,25)9(26,27)10(28,29)11(30,31)32/h(H,33,34)",Ref,0.172,0.036,0.13599999999999998,0.208,0.018,ug,kg,M,,0.036,2.0
1507,,SRM 1957,Organic Contaminants in Non-Fortified Human Serum,2014-12-29,Phospholipids (PL),,Ref,181.0,3.0,178.0,184.0,1.5,mg,dL,V,,3.0,2.0
